Name,State,Race,Count,Poverty%,Insured,Population,Poverty Rank,2019Poverty%,2014Poverty%
Vulva,West Virginia,American Indian or Alaska Native,0,17.7,93.5,1815857,47,17.6%,18.1%
Other Female Genital Organs,West Virginia,Other Races and Unknown combined,0,17.7,93.5,1815857,47,17.6%,18.1%
"Uterus, NOS",West Virginia,Asian or Pacific Islander,0,17.7,93.5,1815857,47,17.6%,18.1%
"Uterus, NOS",West Virginia,American Indian or Alaska Native,0,17.7,93.5,1815857,47,17.6%,18.1%
Vagina,West Virginia,Black or African American,0,17.7,93.5,1815857,47,17.6%,18.1%
Vagina,West Virginia,American Indian or Alaska Native,0,17.7,93.5,1815857,47,17.6%,18.1%
Ovary,West Virginia,Asian or Pacific Islander,0,17.7,93.5,1815857,47,17.6%,18.1%
Ovary,West Virginia,Other Races and Unknown combined,0,17.7,93.5,1815857,47,17.6%,18.1%
Vagina,West Virginia,Other Races and Unknown combined,0,17.7,93.5,1815857,47,17.6%,18.1%
Other Female Genital Organs,West Virginia,Asian or Pacific Islander,0,17.7,93.5,1815857,47,17.6%,18.1%
Vulva,West Virginia,Asian or Pacific Islander,0,17.7,93.5,1815857,47,17.6%,18.1%
Cervix Uteri,West Virginia,Black or African American,0,17.7,93.5,1815857,47,17.6%,18.1%
Corpus Uteri,West Virginia,White,376,17.7,93.5,1815857,47,17.6%,18.1%
Ovary,West Virginia,White,156,17.7,93.5,1815857,47,17.6%,18.1%
Cervix Uteri,West Virginia,White,72,17.7,93.5,1815857,47,17.6%,18.1%
Vulva,West Virginia,White,50,17.7,93.5,1815857,47,17.6%,18.1%
Cervix Uteri,Mississippi,Black or African American,58,22.3,86.0,2984100,50,20.3%,22.6%
Ovary,Mississippi,Black or African American,46,22.3,86.0,2984100,50,20.3%,22.6%
Other Female Genital Organs,Mississippi,Other Races and Unknown combined,0,22.3,86.0,2984100,50,20.3%,22.6%
Vulva,Mississippi,Asian or Pacific Islander,0,22.3,86.0,2984100,50,20.3%,22.6%
"Uterus, NOS",Mississippi,American Indian or Alaska Native,0,22.3,86.0,2984100,50,20.3%,22.6%
"Uterus, NOS",Mississippi,Other Races and Unknown combined,0,22.3,86.0,2984100,50,20.3%,22.6%
Other Female Genital Organs,Mississippi,Asian or Pacific Islander,0,22.3,86.0,2984100,50,20.3%,22.6%
Other Female Genital Organs,Mississippi,American Indian or Alaska Native,0,22.3,86.0,2984100,50,20.3%,22.6%
"Uterus, NOS",Mississippi,Asian or Pacific Islander,0,22.3,86.0,2984100,50,20.3%,22.6%
Vagina,Mississippi,Asian or Pacific Islander,0,22.3,86.0,2984100,50,20.3%,22.6%
Ovary,Mississippi,Other Races and Unknown combined,0,22.3,86.0,2984100,50,20.3%,22.6%
Vulva,Mississippi,American Indian or Alaska Native,0,22.3,86.0,2984100,50,20.3%,22.6%
Cervix Uteri,Mississippi,American Indian or Alaska Native,0,22.3,86.0,2984100,50,20.3%,22.6%
Vagina,Mississippi,Other Races and Unknown combined,0,22.3,86.0,2984100,50,20.3%,22.6%
Corpus Uteri,Mississippi,Black or African American,139,22.3,86.0,2984100,50,20.3%,22.6%
Vulva,Mississippi,Other Races and Unknown combined,0,22.3,86.0,2984100,50,20.3%,22.6%
Vagina,Mississippi,American Indian or Alaska Native,0,22.3,86.0,2984100,50,20.3%,22.6%
Corpus Uteri,Mississippi,White,276,22.3,86.0,2984100,50,20.3%,22.6%
Ovary,Mississippi,White,112,22.3,86.0,2984100,50,20.3%,22.6%
Cervix Uteri,Mississippi,White,84,22.3,86.0,2984100,50,20.3%,22.6%
Vulva,Mississippi,White,39,22.3,86.0,2984100,50,20.3%,22.6%
Other Female Genital Organs,New Mexico,Asian or Pacific Islander,0,20.9,88.8,2088070,48,19.1%,20.9%
Corpus Uteri,New Mexico,American Indian or Alaska Native,29,20.9,88.8,2088070,48,19.1%,20.9%
Vagina,New Mexico,Black or African American,0,20.9,88.8,2088070,48,19.1%,20.9%
Vagina,New Mexico,American Indian or Alaska Native,0,20.9,88.8,2088070,48,19.1%,20.9%
Vagina,New Mexico,Other Races and Unknown combined,0,20.9,88.8,2088070,48,19.1%,20.9%
Vagina,New Mexico,Asian or Pacific Islander,0,20.9,88.8,2088070,48,19.1%,20.9%
Vulva,New Mexico,Black or African American,0,20.9,88.8,2088070,48,19.1%,20.9%
Ovary,New Mexico,Asian or Pacific Islander,0,20.9,88.8,2088070,48,19.1%,20.9%
"Uterus, NOS",New Mexico,American Indian or Alaska Native,0,20.9,88.8,2088070,48,19.1%,20.9%
Other Female Genital Organs,New Mexico,Black or African American,0,20.9,88.8,2088070,48,19.1%,20.9%
Ovary,New Mexico,Black or African American,0,20.9,88.8,2088070,48,19.1%,20.9%
"Uterus, NOS",New Mexico,Black or African American,0,20.9,88.8,2088070,48,19.1%,20.9%
Vulva,New Mexico,Other Races and Unknown combined,0,20.9,88.8,2088070,48,19.1%,20.9%
Ovary,New Mexico,Other Races and Unknown combined,0,20.9,88.8,2088070,48,19.1%,20.9%
Other Female Genital Organs,New Mexico,Other Races and Unknown combined,0,20.9,88.8,2088070,48,19.1%,20.9%
Vulva,New Mexico,Asian or Pacific Islander,0,20.9,88.8,2088070,48,19.1%,20.9%
Cervix Uteri,New Mexico,Black or African American,0,20.9,88.8,2088070,48,19.1%,20.9%
Cervix Uteri,New Mexico,White,70,20.9,88.8,2088070,48,19.1%,20.9%
Vulva,New Mexico,White,18,20.9,88.8,2088070,48,19.1%,20.9%
Other Female Genital Organs,New Mexico,White,22,20.9,88.8,2088070,48,19.1%,20.9%
Corpus Uteri,New Mexico,White,259,20.9,88.8,2088070,48,19.1%,20.9%
Ovary,New Mexico,White,152,20.9,88.8,2088070,48,19.1%,20.9%
Ovary,Oklahoma,American Indian or Alaska Native,28,16.5,84.0,3930864,43,15.7%,16.9%
Vulva,Oklahoma,Other Races and Unknown combined,0,16.5,84.0,3930864,43,15.7%,16.9%
"Uterus, NOS",Oklahoma,Asian or Pacific Islander,0,16.5,84.0,3930864,43,15.7%,16.9%
Corpus Uteri,Oklahoma,Black or African American,35,16.5,84.0,3930864,43,15.7%,16.9%
Vagina,Oklahoma,Asian or Pacific Islander,0,16.5,84.0,3930864,43,15.7%,16.9%
Corpus Uteri,Oklahoma,American Indian or Alaska Native,51,16.5,84.0,3930864,43,15.7%,16.9%
Vagina,Oklahoma,Black or African American,0,16.5,84.0,3930864,43,15.7%,16.9%
Other Female Genital Organs,Oklahoma,Other Races and Unknown combined,0,16.5,84.0,3930864,43,15.7%,16.9%
Other Female Genital Organs,Oklahoma,Asian or Pacific Islander,0,16.5,84.0,3930864,43,15.7%,16.9%
Cervix Uteri,Oklahoma,American Indian or Alaska Native,22,16.5,84.0,3930864,43,15.7%,16.9%
Cervix Uteri,Oklahoma,White,123,16.5,84.0,3930864,43,15.7%,16.9%
Vulva,Oklahoma,White,57,16.5,84.0,3930864,43,15.7%,16.9%
Ovary,Oklahoma,White,196,16.5,84.0,3930864,43,15.7%,16.9%
Corpus Uteri,Oklahoma,White,449,16.5,84.0,3930864,43,15.7%,16.9%
Vagina,Louisiana,American Indian or Alaska Native,0,19.7,88.2,4684333,49,19.2%,19.6%
Ovary,Louisiana,Black or African American,71,19.7,88.2,4684333,49,19.2%,19.6%
Cervix Uteri,Louisiana,Black or African American,86,19.7,88.2,4684333,49,19.2%,19.6%
Vulva,Louisiana,Black or African American,20,19.7,88.2,4684333,49,19.2%,19.6%
Other Female Genital Organs,Louisiana,American Indian or Alaska Native,0,19.7,88.2,4684333,49,19.2%,19.6%
Other Female Genital Organs,Louisiana,Asian or Pacific Islander,0,19.7,88.2,4684333,49,19.2%,19.6%
Cervix Uteri,Louisiana,American Indian or Alaska Native,0,19.7,88.2,4684333,49,19.2%,19.6%
Vulva,Louisiana,American Indian or Alaska Native,0,19.7,88.2,4684333,49,19.2%,19.6%
Vulva,Louisiana,Other Races and Unknown combined,0,19.7,88.2,4684333,49,19.2%,19.6%
Other Female Genital Organs,Louisiana,Other Races and Unknown combined,0,19.7,88.2,4684333,49,19.2%,19.6%
Corpus Uteri,Louisiana,Black or African American,166,19.7,88.2,4684333,49,19.2%,19.6%
"Uterus, NOS",Louisiana,Asian or Pacific Islander,0,19.7,88.2,4684333,49,19.2%,19.6%
"Uterus, NOS",Louisiana,American Indian or Alaska Native,0,19.7,88.2,4684333,49,19.2%,19.6%
"Uterus, NOS",Louisiana,Other Races and Unknown combined,0,19.7,88.2,4684333,49,19.2%,19.6%
Vagina,Louisiana,Other Races and Unknown combined,0,19.7,88.2,4684333,49,19.2%,19.6%
Vulva,Louisiana,Asian or Pacific Islander,0,19.7,88.2,4684333,49,19.2%,19.6%
Corpus Uteri,Louisiana,White,407,19.7,88.2,4684333,49,19.2%,19.6%
Cervix Uteri,Louisiana,White,145,19.7,88.2,4684333,49,19.2%,19.6%
Vulva,Louisiana,White,64,19.7,88.2,4684333,49,19.2%,19.6%
Other Female Genital Organs,Louisiana,White,21,19.7,88.2,4684333,49,19.2%,19.6%
"Uterus, NOS",Kentucky,American Indian or Alaska Native,0,18.8,94.0,4454189,46,17.3%,18.9%
Cervix Uteri,Kentucky,Asian or Pacific Islander,0,18.8,94.0,4454189,46,17.3%,18.9%
"Uterus, NOS",Kentucky,Black or African American,0,18.8,94.0,4454189,46,17.3%,18.9%
Vagina,Kentucky,Black or African American,0,18.8,94.0,4454189,46,17.3%,18.9%
Other Female Genital Organs,Kentucky,American Indian or Alaska Native,0,18.8,94.0,4454189,46,17.3%,18.9%
Other Female Genital Organs,Kentucky,Asian or Pacific Islander,0,18.8,94.0,4454189,46,17.3%,18.9%
Corpus Uteri,Kentucky,American Indian or Alaska Native,0,18.8,94.0,4454189,46,17.3%,18.9%
"Uterus, NOS",Kentucky,Other Races and Unknown combined,0,18.8,94.0,4454189,46,17.3%,18.9%
Vulva,Kentucky,American Indian or Alaska Native,0,18.8,94.0,4454189,46,17.3%,18.9%
Other Female Genital Organs,Kentucky,Other Races and Unknown combined,0,18.8,94.0,4454189,46,17.3%,18.9%
Ovary,Kentucky,American Indian or Alaska Native,0,18.8,94.0,4454189,46,17.3%,18.9%
"Uterus, NOS",Kentucky,Asian or Pacific Islander,0,18.8,94.0,4454189,46,17.3%,18.9%
Vagina,Kentucky,Other Races and Unknown combined,0,18.8,94.0,4454189,46,17.3%,18.9%
Vagina,Kentucky,American Indian or Alaska Native,0,18.8,94.0,4454189,46,17.3%,18.9%
Vagina,Kentucky,Asian or Pacific Islander,0,18.8,94.0,4454189,46,17.3%,18.9%
Corpus Uteri,Kentucky,Black or African American,55,18.8,94.0,4454189,46,17.3%,18.9%
Other Female Genital Organs,Kentucky,White,27,18.8,94.0,4454189,46,17.3%,18.9%
Corpus Uteri,Kentucky,White,688,18.8,94.0,4454189,46,17.3%,18.9%
Ovary,Kentucky,White,272,18.8,94.0,4454189,46,17.3%,18.9%
Cervix Uteri,Kentucky,White,197,18.8,94.0,4454189,46,17.3%,18.9%
Vulva,Kentucky,White,116,18.8,94.0,4454189,46,17.3%,18.9%
Vulva,Tennessee,Asian or Pacific Islander,0,17.2,89.4,6715984,41,15.2%,17.8%
Ovary,Tennessee,Black or African American,52,17.2,89.4,6715984,41,15.2%,17.8%
Vagina,Tennessee,Other Races and Unknown combined,0,17.2,89.4,6715984,41,15.2%,17.8%
"Uterus, NOS",Tennessee,American Indian or Alaska Native,0,17.2,89.4,6715984,41,15.2%,17.8%
Vulva,Tennessee,American Indian or Alaska Native,0,17.2,89.4,6715984,41,15.2%,17.8%
"Uterus, NOS",Tennessee,Other Races and Unknown combined,0,17.2,89.4,6715984,41,15.2%,17.8%
Vagina,Tennessee,American Indian or Alaska Native,0,17.2,89.4,6715984,41,15.2%,17.8%
Vagina,Tennessee,Asian or Pacific Islander,0,17.2,89.4,6715984,41,15.2%,17.8%
"Uterus, NOS",Tennessee,Asian or Pacific Islander,0,17.2,89.4,6715984,41,15.2%,17.8%
Corpus Uteri,Tennessee,Black or African American,130,17.2,89.4,6715984,41,15.2%,17.8%
Other Female Genital Organs,Tennessee,American Indian or Alaska Native,0,17.2,89.4,6715984,41,15.2%,17.8%
Cervix Uteri,Tennessee,Black or African American,55,17.2,89.4,6715984,41,15.2%,17.8%
Other Female Genital Organs,Tennessee,Asian or Pacific Islander,0,17.2,89.4,6715984,41,15.2%,17.8%
Corpus Uteri,Tennessee,White,867,17.2,89.4,6715984,41,15.2%,17.8%
Other Female Genital Organs,Tennessee,White,33,17.2,89.4,6715984,41,15.2%,17.8%
Vulva,Tennessee,White,98,17.2,89.4,6715984,41,15.2%,17.8%
Ovary,Tennessee,White,373,17.2,89.4,6715984,41,15.2%,17.8%
Cervix Uteri,Tennessee,White,228,17.2,89.4,6715984,41,15.2%,17.8%
"Uterus, NOS",Tennessee,White,28,17.2,89.4,6715984,41,15.2%,17.8%
Other Female Genital Organs,Alabama,Asian or Pacific Islander,0,18.4,89.2,4874747,44,16.7%,18.9%
Vulva,Alabama,Other Races and Unknown combined,0,18.4,89.2,4874747,44,16.7%,18.9%
Vulva,Alabama,Asian or Pacific Islander,0,18.4,89.2,4874747,44,16.7%,18.9%
Vagina,Alabama,American Indian or Alaska Native,0,18.4,89.2,4874747,44,16.7%,18.9%
Ovary,Alabama,American Indian or Alaska Native,0,18.4,89.2,4874747,44,16.7%,18.9%
Other Female Genital Organs,Alabama,Other Races and Unknown combined,0,18.4,89.2,4874747,44,16.7%,18.9%
Corpus Uteri,Alabama,American Indian or Alaska Native,0,18.4,89.2,4874747,44,16.7%,18.9%
"Uterus, NOS",Alabama,American Indian or Alaska Native,0,18.4,89.2,4874747,44,16.7%,18.9%
Corpus Uteri,Alabama,Black or African American,154,18.4,89.2,4874747,44,16.7%,18.9%
Cervix Uteri,Alabama,Black or African American,77,18.4,89.2,4874747,44,16.7%,18.9%
Other Female Genital Organs,Alabama,American Indian or Alaska Native,0,18.4,89.2,4874747,44,16.7%,18.9%
Vulva,Alabama,American Indian or Alaska Native,0,18.4,89.2,4874747,44,16.7%,18.9%
"Uterus, NOS",Alabama,Other Races and Unknown combined,0,18.4,89.2,4874747,44,16.7%,18.9%
Cervix Uteri,Alabama,American Indian or Alaska Native,0,18.4,89.2,4874747,44,16.7%,18.9%
Ovary,Alabama,Black or African American,71,18.4,89.2,4874747,44,16.7%,18.9%
Corpus Uteri,Alabama,White,447,18.4,89.2,4874747,44,16.7%,18.9%
Cervix Uteri,Alabama,White,152,18.4,89.2,4874747,44,16.7%,18.9%
Vulva,Alabama,White,71,18.4,89.2,4874747,44,16.7%,18.9%
Ovary,Alabama,White,268,18.4,89.2,4874747,44,16.7%,18.9%
